að	að	cn
skoða	skoða	sng
nánar	náið	aam
við	við	af
tækifæri	tækifæri	nheo
.	.	pl

Myndin	mynd	nveng
er	vera	sfg3en
tekin	taka	sþgven
í	í	af
miklum	mikill	lkeþsf
raunsæisstíl	raunsæisstíll	nkeþ
,	,	pk
það	það	fphen
er	vera	sfg3en
engin	enginn	foven
kvikmyndatónlist	kvikmyndatónlist	nven
,	,	pk
birtan	birta	nveng
oftast	oft	aae
náttúruleg	náttúrulegur	lvensf
,	,	pk
förðun	förðun	nven
í	í	af
algjöru	algjör	lheþsf
lágmarki	lágmark	nheþ
,	,	pk
og	og	c
stjarnan	stjarna	nveng
Juliette	Juliette	n----s
Binoche	Binoche	n----s
ógreidd	ógreiddur	lvensf
.	.	pl

Hún	hún	fpven
er	vera	sfg3en
ekki	ekki	aa
með	með	af
stíliseraðan	stíliseraður	lkeosf
úfinn	úfinn	lkeosf
hænurass	hænurass	nkeo
a	a	e
la	la	e
Meg	Meg	n----s
Ryan	Ryan	n----s
,	,	pk
nei	nei	au
hún	hún	fpven
er	vera	sfg3en
ógreidd	ógreiddur	lvensf
eins	eins	aa
og	og	c
þegar	þegar	c
maður	maður	nken
hefur	hafa	sfg3en
unnið	vinna	sþghen
mikið	mikið	aa
og	og	c
ekki	ekki	aa
haft	hafa	sþghen
tíma	tími	nkeo
til	til	af
að	að	cn
renna	renna	sng
greiðu	greiða	nveþ
gegnum	gegnum	af
hárið	hár	nheog
.	.	pl

Og	og	c
úfin	úfinn	lvensf
eins	eins	aa
og	og	c
maður	maður	nken
þegar	þegar	c
maður	maður	nken
hefur	hafa	sfg3en
heldur	heldur	aam
ekki	ekki	aa
haft	hafa	sþghen
tíma	tími	nkeo
til	til	af
að	að	cn
fara	fara	sng
í	í	af
klippingu	klipping	nveo
.	.	pl

Hún	hún	fpven
verður	verða	sfg3en
líka	líka	aa
mjög	mjög	aa
eðlilega	eðlilega	aa
reið	reiður	lvensf
og	og	c
pirruð	pirraður	lvensf
og	og	c
sama	samur	fbheo
má	mega	sfg3en
segja	segja	sng
um	um	af
Daniel	Daniel	n----s
Auteuil	Auteuil	n----s
í	í	af
hlutverki	hlutverk	nheþ
eiginmannsins	eiginmaður	nkeeg
.	.	pl

Þau	það	fphfn
leika	leika	sfg3fn
bæði	báðir	fohfn
afburða	afburður	nkfe
vel	vel	aa
og	og	c
sama	samur	fbheo
má	mega	sfg3en
segja	segja	sng
um	um	af
aðra	annar	fokfo
í	í	af
myndinni	mynd	nveþg
.	.	pl

Ein	einn	tfven
af	af	af
mörgum	margur	lvfþsf
skemmtilegum	skemmtilegur	lvfþsf
tilraunum	tilraun	nvfþ
sem	sem	ct
Haneke	Haneke	n----s
gerir	gera	sfg3en
í	í	af
töku	taka	nveþ
er	vera	sfg3en
í	í	af
byrjun	byrjun	nveþ
myndarinnar	mynd	nveeg
.	.	pl

Strax	strax	aa
þá	þá	aa
gerir	gera	sfg3en
hann	hann	fpken
áhorfendum	áhorfandi	nkfþ
grein	grein	nveo
fyrir	fyrir	af
að	að	c
hann	hann	fpken
ætlar	ætla	sfg3en
sér	sig	fpkeþ
að	að	cn
rugla	rugla	sng
þá	hann	fpkfo
í	í	af
ríminu	rím	nheþg
,	,	pk
láta	láta	sng
þá	hann	fpkfo
velkjast	velkja	snm
í	í	af
vafa	vafi	nkeþ
um	um	af
það	það	fpheo
annað	annar	foheo
slagið	slag	nheog
hvort	hvort	c
þeir	hann	fpkfn
eru	vera	sfg3fn
að	að	cn
horfa	horfa	sng
á	á	af
upptöku	upptaka	nveo
úr	úr	af
falinni	falinn	lveþsf
myndavél	myndavél	nveþ
eða	eða	c
á	á	af
myndina	mynd	nveog
sjálfa	sjálfur	fbveo
.	.	pl

Haneke	Haneke	n----s
lætur	láta	sfg3en
líða	líða	sng
10-15	10-15	ta
mínútur	mínúta	nvfo
áður	áður	aa
en	en	c
áhorfandinn	áhorfandi	nkeng
fær	fá	sfg3en
að	að	cn
sjá	sjá	sng
framan	framan	aa
í	í	af
aðalleikkonu	aðalleikkona	nveo
myndarinnar	mynd	nveeg
.	.	pl

Juliette	Juliette	n----s
Binoche	Binoche	n----s
er	vera	sfg3en
þó	þó	aa
í	í	af
mynd	mynd	nveþ
næstum	næstum	aa
allan	allur	fokeo
þann	sá	fakeo
tíma	tími	nkeo
,	,	pk
en	en	c
maður	maður	nken
sér	sjá	sfg3en
bara	bara	aa
aftan	aftan	aa
á	á	af
hana	hún	fpveo
eða	eða	c
sér	sjá	sfg3en
hana	hún	fpveo
frá	frá	af
hlið	hlið	nveþ
.	.	pl

Áhorfandinn	áhorfandi	nkeng
fær	fá	sfg3en
þó	þó	aa
ógreinilega	ógreinilegur	lveosf
mynd	mynd	nveo
af	af	af
andliti	andlit	nheþ
hennar	hún	fpvee
tvisvar	tvisvar	aa
á	á	af
þessum	þessi	fakeþ
tíma	tími	nkeþ
þegar	þegar	c
hún	hún	fpven
gengur	ganga	sfg3en
hratt	hratt	aa
fram	fram	aa
hjá	hjá	af
linsunni	linsa	nveþg
.	.	pl

Allt	allur	fohen
þetta	þessi	fahen
lætur	láta	sfg3en
mann	maður	nkeo
fá	fá	sng
á	á	af
tilfinninguna	tilfinning	nveog
að	að	c
maður	maður	nken
sé	vera	svg3en
óvelkominn	óvelkominn	lkensf
áhorfandi	áhorfandi	nken
,	,	pk
að	að	c
maður	maður	nken
sé	vera	svg3en
að	að	cn
njósna	njósna	sng
.	.	pl

Eins	eins	aa
og	og	c
þegar	þegar	c
maður	maður	nken
horfir	horfa	sfg3en
á	á	af
mynd	mynd	nveo
úr	úr	af
falinni	falinn	lveþsf
myndavél	myndavél	nveþ
eða	eða	c
öryggismyndavél	öryggismyndavél	nveþ
sem	sem	ct
hefur	hafa	sfg3en
verið	vera	sþghen
notuð	nota	sþgven
til	til	af
að	að	cn
vakta	vakta	sng
svæði	svæði	nheo
.	.	pl

Óþægindin	óþægindi	nhfng
verða	verða	sfg3fn
tvenns	tvennur	lkeesf
konar	konar	nkee
í	í	af
myndinni	mynd	nveþg
,	,	pk
tilfinningin	tilfinning	nveng
að	að	c
maður	maður	nken
sé	vera	svg3en
látinn	láta	sþgken
horfa	horfa	sng
á	á	af
það	sá	faheo
sem	sem	ct
maður	maður	nken
vill	vilja	sfg3en
ekki	ekki	aa
sjá	sjá	sng
annars	annar	fokee
vegar	vegur	nkee
og	og	c
hins	hinn	fakee
vegar	vegur	nkee
samúð	samúð	nven
með	með	af
fólki	fólk	nheþ
sem	sem	ct
fylgst	fylgja	sþmhen
er	vera	sfg3en
með	með	aa
af	af	af
ókunnugu	ókunnugur	lheþsf
auga	auga	nheþ
.	.	pl

Svo	svo	aa
veit	vita	sfg3en
maður	maður	nken
heldur	heldur	c
aldrei	aldrei	aa
hverju	hver	fsheþ
maður	maður	nken
á	eiga	sfg3en
að	að	cn
trúa	trúa	sng
.	.	pl

Það	það	fphen
er	vera	sfg3en
oft	oft	aa
heilmikið	heilmikill	lhensf
að	að	cn
gerast	gera	snm
utan	utan	af
myndrammans	myndrammi	nkeeg
,	,	pk
samtöl	samtal	nhfn
sem	sem	ct
maður	maður	nken
á	eiga	sfg3en
að	að	cn
heyra	heyra	sng
og	og	c
fólk	fólk	nhen
að	að	cn
brasa	brasa	sng
.	.	pl

Á	á	af
einum	einn	tfkeþ
stað	staður	nkeþ
yfirgnæfa	yfirgnæfa	sfg3fn
hins	hinn	fakee
vegar	vegur	nkee
fréttir	frétt	nvfn
í	í	af
sjónvarpinu	sjónvarp	nheþg
næstum	næstum	aa
texta	texti	nkeo
.	.	pl

Haneke	Haneke	n----s
fjallar	fjalla	sfg3en
líka	líka	aa
um	um	af
óttann	ótti	nkeog
sem	sem	ct
nútímamaðurinn	nútímamaður	nkeng
býr	búa	sfg3en
við	við	aa
,	,	pk
ótta	ótti	nkeo
við	við	af
að	að	c
stóri	stór	lkenvf
bróðir	bróðir	nken
fylgist	fylgja	svm3en
með	með	af
hverju	hver	foheþ
fótspori	fótspor	nheþ
.	.	pl

En	en	c
það	það	fphen
eru	vera	sfg3fn
margir	margur	lkfnsf
fletir	flötur	nkfn
á	á	af
myndinni	mynd	nveþg
.	.	pl

Ekki	ekki	aa
einungis	einungis	aa
sá	sá	faken
augljósi	augljós	lkenvf
að	að	c
hún	hún	fpven
sé	vera	svg3en
um	um	aa
hvernig	hvernig	aa
gerð	gera	sþgven
sé	vera	svg3en
innrás	innrás	nven
í	í	af
einkalíf	einkalíf	nheo
fólks	fólk	nhee
og	og	c
að	að	c
hún	hún	fpven
sé	vera	svg3en
um	um	af
að	að	c
maður	maður	nken
komist	koma	svm3en
aldrei	aldrei	aa
undan	undan	af
eigin	eigin	lveþof
samvisku	samviska	nveþ
.	.	pl

Þó	þó	aa
maður	maður	nken
reyni	reyna	svg3en
að	að	cn
fela	fela	sng
sektarkendina	sektarkend	x
og	og	c
afneita	afneita	sng
henni	hún	fpveþ
kemst	koma	sfm3en
maður	maður	nken
aldrei	aldrei	aa
frá	frá	af
henni	hún	fpveþ
.	.	pl

Að	að	c
hvernig	hvernig	aa
sem	sem	c
maður	maður	nken
byrgi	byrgja	svg3en
inni	inni	aa
og	og	c
reyni	reyna	svg3en
að	að	cn
gleyma	gleyma	sng
láti	láta	svg3en
samviskan	samviska	nveng
mann	maður	nkeo
aldrei	aldrei	aa
í	í	af
friði	friður	nkeþ
.	.	pl

Nei	nei	au
,	,	pk
það	það	fphen
er	vera	sfg3en
annar	annar	foken
flötur	flötur	nken
á	á	af
myndinni	mynd	nveþg
sem	sem	ct
ég	ég	fp1en
hef	hafa	sfg1en
velt	velta	sþghen
mikið	mikið	aa
fyrir	fyrir	af
mér	ég	fp1eþ
þessa	þessi	fakfo
daga	dagur	nkfo
sem	sem	ct
liðnir	líða	sþgkfn
eru	vera	sfg3fn
frá	frá	af
því	það	fpheþ
að	að	c
ég	ég	fp1en
sá	sjá	sfg1eþ
hana	hún	fpveo
.	.	pl

Og	og	c
nú	nú	aa
ætla	ætla	sfg1en
ég	ég	fp1en
að	að	cn
vara	vara	sng
þá	sá	fakfo
við	við	aa
sem	sem	ct
eiga	eiga	sfg3fn
eftir	eftir	aa
að	að	cn
sjá	sjá	sng
myndina	mynd	nveog
.	.	pl

Það	sá	fahen
sem	sem	ct
ég	ég	fp1en
ætla	ætla	sfg1en
að	að	cn
tala	tala	sng
um	um	aa
hér	hér	aa
á	á	aa
eftir	eftir	aa
gæti	geta	svg3eþ
nefnilega	nefnilega	aa
spillt	spilla	sþghen
fyrir	fyrir	af
upplifuninni	upplifun	nveþg
.	.	pl

Svo	svo	aa
þeir	sá	fakfn
sem	sem	ct
ætla	ætla	sfg3fn
sér	sig	fpkfþ
að	að	cn
sjá	sjá	sng
Caché	Caché	n----s
í	í	af
Háskólabíói	Háskólabíó	nheþ-s
ættu	eiga	svg3fþ
kannski	kannski	aa
að	að	cn
þagga	þagga	sng
niður	niður	aa
í	í	af
mér	ég	fp1eþ
núna	núna	aa
,	,	pk
skrúfa	skrúfa	sng
niður	niður	aa
í	í	af
hljóðinu	hljóð	nheþg
í	í	af
nokkrar	nokkur	fovfo
mínútur	mínúta	nvfo
og	og	c
kíkja	kíkja	sng
frekar	frekar	aam
á	á	af
textann	texti	nkeog
seinna	seint	aam
á	á	af
heimasíðunni	heimasíða	nveþg
,	,	pk
kvika.net	kvika.net	v
.	.	pl

Alla	allur	foveo
ævi	ævi	nveo
hefur	hafa	sfg3en
menntamaðurinn	menntamaður	nkeng
Georges	Georges	n----s
reynt	reyna	sþghen
að	að	cn
gleyma	gleyma	sng
því	það	fpheþ
að	að	c
þegar	þegar	c
hann	hann	fpken
var	vera	sfg3eþ
sex	sex	tfhfe
ára	ár	nhfe
hafði	hafa	sfg3eþ
hann	hann	fpken
varanleg	varanlegur	lhfosf
áhrif	áhrif	nhfo
á	á	af
framtíð	framtíð	nveo
ungs	ungur	lkeesf
drengs	drengur	nkee
,	,	pk
Majid	Majid	n----s
,	,	pk
sonar	sonur	nkee
vinnufólks	vinnufólk	nhee
foreldra	foreldrar	nkfe
hans	hann	fpkee
,	,	pk
vinnufólks	vinnufólk	nhee
frá	frá	af
Alsír	Alsír	nheþ-s
.	.	pl

Afdrifaríkan	afdrifaríkur	lkeosf
dag	dagur	nkeo
,	,	pk
17.	17.	ta
október	október	nkeo
árið	ár	nheog
1961	1961	ta
,	,	pk
fara	fara	sfg3fn
foreldrar	foreldrar	nkfn
Majid	Majid	n----s
til	til	af
Parísar	París	nvee-s
til	til	af
að	að	cn
taka	taka	sng
þátt	þáttur	nkeo
í	í	af
miklum	mikill	lhfþsf
mótmælum	mótmæli	nhfþ
gegn	gegn	af
nýlenduherrunum	nýlenduherra	nkfþg
Frökkum	Frakki	nkfþ-s
.	.	pl

Þetta	þessi	fahen
er	vera	sfg3en
svartur	svartur	lkensf
dagur	dagur	nken
í	í	af
sögu	saga	nveþ
Frakklands	Frakkland	nhee-s
því	því	aa
fjölda	fjöldi	nkeþ
mótmælenda	mótmælandi	nkfe
var	vera	sfg3eþ
hreinlega	hreinlega	aa
slátrað	slátra	sþghen
í	í	af
París	París	nveþ-s
.	.	pl

Í	í	af
myndinni	mynd	nveþg
kemur	koma	sfg3en
fram	fram	aa
að	að	c
foreldrar	foreldrar	nkfn
Majid	Majid	n----s
komu	koma	sfg3fþ
aldrei	aldrei	aa
aftur	aftur	aa
og	og	c
foreldrar	foreldrar	nkfn
Georges	Georges	n----s
ákveða	ákveða	sfg3fn
að	að	cn
ættleiða	ættleiða	sng
drenginn	drengur	nkeog
.	.	pl

Georges	Georges	n----s
er	vera	sfg3en
sex	sex	tfhfe
ára	ár	nhfe
og	og	c
vill	vilja	sfg3en
alls	allur	fohee
ekki	ekki	aa
að	að	c
foreldrarnir	foreldrar	nkfng
taki	taka	svg3fn
Majid	Majid	n----s
að	að	af
sér	sig	fpkfþ
svo	svo	aa
hann	hann	fpken
kemur	koma	sfg3en
í	í	af
veg	vegur	nkeo
fyrir	fyrir	af
það	það	fpheo
með	með	af
því	það	fpheþ
að	að	cn
ljúga	ljúga	sng
sökum	sök	nvfþ
upp	upp	aa
á	á	af
Majid	Majid	n----s
.	.	pl

Alla	allur	foveo
ævi	ævi	nveo
hefur	hafa	sfg3en
Georges	Georges	n----s
lifað	lifa	sþghen
með	með	af
þessum	þessi	fakeþ
skugga	skuggi	nkeþ
fortíðarinnar	fortíð	nveeg
,	,	pk
en	en	c
talið	telja	sþghen
sér	sig	fpkeþ
trú	trú	nveo
um	um	af
að	að	c
hann	hann	fpken
geti	geta	svg3en
ekkert	enginn	foheo
gert	gera	sþghen
að	að	af
því	það	fpheþ
að	að	c
Majid	Majid	n----s
hafi	hafa	svg3en
lent	lenda	sþghen
á	á	af
munaðarleysingjaheimili	munaðarleysingjaheimili	nheþ
,	,	pk
að	að	c
hann	hann	fpken
beri	bera	svg3en
ekki	ekki	aa
ábyrgð	ábyrgð	nveo
á	á	af
því	það	fpheþ
að	að	c
Majid	Majid	n----s
hafi	hafa	svg3en
verið	vera	sþghen
sviftur	svipta	sþgken
möguleikanum	möguleiki	nkeþg
á	á	af
að	að	cn
búa	búa	sng
við	við	af
gott	góður	lheosf
atlæti	atlæti	nheo
og	og	c
fá	fá	sng
góða	góður	lveosf
menntun	menntun	nveo
.	.	pl

Hann	hann	fpken
hafi	hafa	svg3en
jú	jú	au
bara	bara	aa
verið	vera	sþghen
sex	sex	tfhfe
ára	ár	nhfe
.	.	pl

Georges	Georges	n----s
lifir	lifa	sfg3en
í	í	af
afneitun	afneitun	nveþ
,	,	pk
hrokafullur	hrokafullur	lkensf
en	en	c
innst	innar	aae
inni	inni	aa
nagar	naga	sfg3en
hann	hann	fpkeo
ef	ef	c
til	til	aa
vill	vilja	sfg3en
samviskubit	samviskubit	nhen
.	.	pl

Í	í	af
lok	lok	nhfo
myndarinnar	mynd	nveeg
er	vera	sfg3en
mjög	mjög	aa
táknræn	táknrænn	lvensf
sena	sena	nven
þar	þar	aa
sem	sem	c
Georges	Georges	n----s
reynir	reyna	sfg3en
að	að	cn
útiloka	útiloka	sng
allt	allur	foheo
,	,	pk
fer	fara	sfg3en
í	í	af
rúmið	rúm	nheog
um	um	af
miðjan	miður	lkeosf
dag	dagur	nkeo
,	,	pk
dregur	draga	sfg3en
þykk	þykkur	lhfosf
gluggatjöldin	gluggatjald	nhfog
fyrir	fyrir	aa
og	og	c
hniprar	hnipra	sfg3en
sig	sig	fpkeo
saman	saman	aa
undir	undir	af
sæng	sæng	nveþ
.	.	pl

Ef	ef	c
vel	vel	aa
er	vera	sfg3en
að	að	c
gáð	gá	sþghen
er	vera	sfg3en
hægt	hægur	lhensf
að	að	cn
setja	setja	sng
þetta	þessi	faheo
í	í	af
víðara	víður	lheovm
samhengi	samhengi	nheo
.	.	pl

Þá	þá	aa
er	vera	sfg3en
Georges	Georges	n----s
Frakkland	Frakkland	nhen-s
og	og	c
Majid	Majid	n----s
innflytjendur	innflytjandi	nkfn
.	.	pl

Frakkland	Frakkland	nhen-s
lokar	loka	sfg3en
augunum	auga	nhfþg
fyrir	fyrir	af
fortíðinni	fortíð	nveþg
og	og	c
meðferð	meðferð	nveþ
þeirra	það	fphfe
á	á	af
íbúum	íbúi	nkfþ
nýlendu	nýlenda	nvee
eins	eins	aa
og	og	c
Alsír	Alsír	nhee-s
.	.	pl

Er	vera	sfg3en
í	í	af
afneitun	afneitun	nveþ
.	.	pl

En	en	c
það	það	fphen
hlýtur	hljóta	sfg3en
að	að	cn
sjóða	sjóða	sng
upp	upp	aa
úr	úr	aa
,	,	pk
reiðin	reiði	nveng
kraumar	krauma	sfg3en
undir	undir	aa
og	og	c
nýjasta	nýr	lhenve
dæmið	dæmi	nheng
eru	vera	sfg3fn
kynþáttaóeirðirnar	kynþáttaóeirð	nvfng
í	í	af
sumum	sumur	fohfþ
hverfum	hverfi	nhfþ
Parísar	París	nvee-s
fyrir	fyrir	af
nokkrum	nokkur	fokfþ
mánuðum	mánuður	nkfþ
.	.	pl

Það	það	fphen
þýðir	þýða	sfg3en
ekki	ekki	aa
að	að	cn
loka	loka	sng
augunum	auga	nhfþg
og	og	c
reyna	reyna	sng
að	að	cn
gleyma	gleyma	sng
eða	eða	c
útiloka	útiloka	sng
,	,	pk
fortíðin	fortíð	nveng
leitar	leita	sfg3en
mann	maður	nkeo
uppi	uppi	aa
,	,	pk
bæði	bæði	c
einstaklinga	einstaklingur	nkfo
og	og	c
þjóðir	þjóð	nvfo
.	.	pl

Sektarkenndin	sektarkennd	nveng
verður	verða	sfg3en
heldur	heldur	aam
ekki	ekki	aa
bæld	bæla	sþgven
endalaust	endalaust	aa
.	.	pl

Þetta	þessi	fahen
er	vera	sfg3en
meðal	meðal	af
annars	annar	fohee
það	sá	fahen
sem	sem	ct
hægt	hægur	lhensf
er	vera	sfg3en
að	að	cn
lesa	lesa	sng
út	út	aa
úr	úr	af
mynd	mynd	nveþ
Michael	Michael	n----s
Haneke	Haneke	n----s
Falinn	falinn	lkensf
.	.	pl

Georges	Georges	n----s
er	vera	sfg3en
líka	líka	aa
persóna	persóna	nven
sem	sem	ct
hefur	hafa	sfg3en
mörg	margur	lhfosf
einkenni	einkenni	nhfo
sem	sem	ct
Frakkland	Frakkland	nhen-s
hefur	hafa	sfg3en
verið	vera	sþghen
þekkt	þekkja	sþghen
fyrir	fyrir	aa
í	í	af
samfélagi	samfélag	nheþ
þjóðanna	þjóð	nvfeg
.	.	pl

Hrokinn	hroki	nkeng
,	,	pk
gamla	gamall	lvenvf
menntaða	menntaður	lvenvf
þjóðin	þjóð	nveng
sem	sem	ct
þykist	þykja	sfm3en
yfir	yfir	af
aðra	annar	fokfo
hafin	hefja	sþgven
.	.	pl

Köld	kaldur	lvensf
,	,	pk
virðuleg	virðulegur	lvensf
og	og	c
heldur	halda	sfg3en
í	í	af
hefðirnar	hefð	nvfog
.	.	pl

Ég	ég	fp1en
gæti	geta	svg1eþ
eytt	eyða	sþghen
löngu	langur	lheþsf
máli	mál	nheþ
í	í	af
fleiri	margur	lvfovm
svona	svona	lvfoof
vangaveltur	vangavelta	nvfo
en	en	c
læt	láta	sfg1en
hér	hér	aa
staðar	staður	nkee
numið	nema	sþghen
.	.	pl

Falinn	falinn	lkensf
er	vera	sfg3en
allavega	allavega	aa
án	án	af
nokkurs	nokkur	fokee
efa	efi	nkee
mynd	mynd	nven
um	um	af
samvisku	samviska	nveo
.	.	pl

Samvisku	samviska	nveo
einstaklings	einstaklingur	nkee
og	og	c
samvisku	samviska	nveo
þjóða	þjóð	nvfe
.	.	pl

Spurt	spyrja	sþghen
er	vera	sfg3en
á	eiga	sfg1en
ég	ég	fp1en
að	að	cn
gæta	gæta	sng
bróður	bróðir	nkee
míns	minn	fekee
?	?	pl

Alla	allur	foveo
myndina	mynd	nveog
heldur	halda	sfg3en
maður	maður	nken
að	að	c
í	í	af
lokin	lok	nhfog
verði	verða	svg3en
því	sá	faheþ
svarað	svara	sþghen
hver	hver	fsken
gerði	gera	sfg3eþ
myndböndin	myndband	nhfog
sem	sem	ct
hjónin	hjón	nhfng
fá	fá	sfg3fn
send	senda	sþghfo
.	.	pl

En	en	c
svo	svo	aa
er	vera	sfg3en
ekki	ekki	aa
.	.	pl

Michael	Michael	n----s
Haneke	Haneke	n----s
skilur	skilja	sfg3en
mann	maður	nkeo
eftir	eftir	aa
í	í	af
lausu	laus	lheþsf
lofti	loft	nheþ
,	,	pk
pirraðan	pirraður	lkeosf
í	í	af
fyrstu	fyrstur	lveþve
en	en	c
síðan	síðan	aa
leitar	leita	sfg3en
myndin	mynd	nveng
á	á	af
mann	maður	nkeo
næstu	næstur	lkfove
daga	dagur	nkfo
og	og	c
í	í	af
stað	staður	nkeo
pirrings	pirringur	nkee
koma	koma	sfg3fn
heilabrot	heilabrot	nhfn
.	.	pl

Ég	ég	fp1en
er	vera	sfg1en
ennþá	ennþá	aa
að	að	cn
melta	melta	sng
myndina	mynd	nveog
og	og	c
á	eiga	sfg1en
trúlega	trúlega	aa
eftir	eftir	aa
að	að	cn
horfa	horfa	sng
á	á	af
hana	hún	fpveo
aftur	aftur	aa
einn	einn	fokeo
góðan	góður	lkeosf
veðurdag	veðurdagur	nkeo
.	.	pl

Pistill	pistill	nken
í	í	af
Víðsjá	Víðsjá	nveþ-s
23.	23.	ta
janúar	janúar	nkeo
2006	2006	ta

14.8.2005	14.8.2005	ta

Bíótónar	bíótónn	nkfn
-	-	pa
gulur	gulur	lkensf

Bíótónar	bíótónn	nkfn
-	-	pa
4.	4.	ta
júní	júní	nkeo
2005	2005	ta
-	-	pa
Gulur	gulur	lkensf

Heilir	heill	lkfnsf
og	og	c
sælir	sæll	lkfnsf
hlustendur	hlustandi	nkfn
góðir	góður	lkfnsf
!	!	pl

Fyrst	fyrr	aae
voru	vera	sfg3fþ
kvikmyndir	kvikmynd	nvfn
ekki	ekki	aa
í	í	af
lit	litur	nkeþ
.	.	pl

Samt	samt	aa
skiptu	skipta	sfg3fþ
litir	litur	nkfn
máli	mál	nheþ
.	.	pl

Það	það	fphen
var	vera	sfg3eþ
hreint	hreint	aa
ekki	ekki	aa
sama	samur	fbhen
hvernig	hvernig	aa
búningar	búningur	nkfn
,	,	pk
leikmynd	leikmynd	nven
og	og	c
umhverfið	umhverfi	nheng
allt	allur	fohen
var	vera	sfg3eþ
á	á	af
litinn	litur	nkeog
.	.	pl

Þeir	sá	fakfn
sem	sem	ct
unnu	vinna	sfg3fþ
við	við	af
kvikmyndir	kvikmynd	nvfo
í	í	af
árdaga	árdagur	nkfo
urðu	verða	sfg3fþ
sérfræðingar	sérfræðingur	nkfn
í	í	af
að	að	cn
þekkja	þekkja	sng
hvernig	hvernig	aa
daufir	daufur	lkfnsf
jafnt	jafnt	aa
sem	sem	c
skærir	skær	lkfnsf
litir	litur	nkfn
komu	koma	sfg3fþ
út	út	aa
í	í	af
grátónaskalanum	grátónaskali	nkeþg
,	,	pk
vissu	vita	sfg3fþ
til	til	af
dæmis	dæmi	nhee
upp	upp	aa
á	á	af
hár	hár	nheo
hvernig	hvernig	aa
hárauður	hárauður	lkensf
kjóll	kjóll	nken
kæmi	koma	svg3eþ
út	út	aa
í	í	af
svart	svart	aa
/	/	pa
hvítri	hvítur	lveþsf
mynd	mynd	nveþ
.	.	pl

Svo	svo	aa
litir	litur	nkfn
hafa	hafa	sfg3fn
alltaf	alltaf	aa
skipt	skipta	sþghen
máli	mál	nheþ
í	í	af
kvikmyndum	kvikmynd	nvfþ
.	.	pl

En	en	c
þeir	hann	fpkfn
skipta	skipta	sfg3fn
jafnvel	jafnvel	aa
enn	enn	aa
meira	mikill	lheþvm
máli	mál	nheþ
nú	nú	aa
til	til	af
dags	dagur	nkee
.	.	pl

Sumir	sumur	fokfn
kvikmyndaleikstjórar	kvikmyndaleikstjóri	nkfn
nota	nota	sfg3fn
liti	litur	nkfo
mjög	mjög	aa
meðvitað	meðvitað	aa
.	.	pl

Meðal	meðal	af
þeirra	hann	fpkfe
eru	vera	sfg3fn
Kieslowski	Kieslowski	n----s
heitinn	heitinn	lkensf
,	,	pk
Ingmar	Ingmar	nken-s
Bergman	Bergman	nken-s
,	,	pk
Sally	Sally	n----s
Potter	Potter	n----s
og	og	c
mexíkóski	mexíkóskur	lkenvf
leikstjórinn	leikstjóri	nkeng
Alfonso	Alfonso	n----s
Cuarón	Cuarón	n----s
.	.	pl

Aðrir	annar	fokfn
nota	nota	sfg3fn
liti	litur	nkfo
markvisst	markvisst	aa
án	án	af
þess	það	fphee
að	að	cn
gera	gera	sng
sér	sig	fpkfþ
grein	grein	nveo
fyrir	fyrir	af
því	það	fpheþ
.	.	pl

Oft	oft	aa
er	vera	sfg3en
það	það	fphen
þannig	þannig	aa
að	að	c
leikstjórar	leikstjóri	nkfn
fullyrða	fullyrða	sfg3fn
að	að	c
þeir	hann	fpkfn
noti	nota	svg3fn
ekki	ekki	aa
tákn	tákn	nhfo
.	.	pl

En	en	c
hefðir	hefð	nvfn
fyrir	fyrir	af
merkingu	merking	nveþ
ýmis	ýmis	fokee
konar	konar	nkee
tákna	tákn	nhfe
og	og	c
lita	litur	nkfe
fléttast	flétta	sfm3fn
inn	inn	aa
í	í	af
allt	allur	foheo
okkar	ég	fp1fe
umhverfi	umhverfi	nheo
og	og	c
menningu	menning	nveo
og	og	c
oft	oft	aa
á	á	af
tíðum	tíð	nvfþ
tökum	taka	sfg1fn
við	ég	fp1fn
alls	allur	fohee
ekki	ekki	aa
eftir	eftir	af
því	það	fpheþ
af	af	af
því	það	fpheþ
að	að	c
það	það	fphen
er	vera	sfg3en
eitthvað	einhver	fohen
svo	svo	aa
sjálfsagt	sjálfsagt	aa
.	.	pl

Þannig	þannig	aa
er	vera	sfg3en
það	það	fphen
með	með	af
suma	sumur	fokfo
leikstjóra	leikstjóri	nkfo
líka	líka	aa
...	...	pa

þeir	hann	fpkfn
segjast	segja	sfm3fn
ekki	ekki	aa
nota	nota	sng
tákn	tákn	nhfo
vegna	vegna	af
þess	það	fphee
að	að	c
þeir	hann	fpkfn
gera	gera	sfg3fn
það	það	fpheo
ómeðvitað	ómeðvitað	aa
.	.	pl

Það	það	fphen
er	vera	sfg3en
stundum	stundum	aa
sagt	segja	sþghen
að	að	c
litir	litur	nkfn
séu	vera	svg3fn
lykillinn	lykill	nkeng
að	að	af
sál	sál	nveþ
fólks	fólk	nhee
vegna	vegna	af
þess	það	fphee
hve	hve	aa
vel	vel	aa
þeir	hann	fpkfn
nái	ná	svg3fn
til	til	af
undirmeðvitundarinnar	undirmeðvitund	nveeg
.	.	pl

